date,Berkshire_Hathaway_return,BRK_13_F_public_stocks_holding_return,risk_free_return,market_excess_return,SMB,HML,QMJ,BAB
19870930,0.057644,0.024157,0.0045,-0.0259,0.0052,0.0029,-0.005121,0.003279
19871030,-0.212085,-0.209566,0.006,-0.2324,-0.0842,0.042,0.055013,-0.124268
19871130,-0.12782,-0.045048,0.0035,-0.0777,0.0276,0.0309,0.001022,0.044724
19871231,0.017241,0.081596,0.0039,0.0681,0.0013,-0.0446,0.020978,-0.093454
19880129,0.027119,0.003585,0.0029,0.0421,-0.007,0.0516,-0.016679,0.034127
19880229,0.039604,0.011061,0.0046,0.0475,0.0334,-0.0164,0.000631,-0.006846
19880331,0.087302,0.054584,0.0044,-0.0227,0.0615,0.0075,-0.014718,0.053087
19880429,0.10219,-0.000046,0.0046,0.0056,0.0095,0.0168,-0.000397,0.018761
19880531,0.039735,-0.053454,0.0051,-0.0029,-0.0265,0.0228,0.010441,0.008147
19880630,0.057325,0.03355,0.0049,0.0479,0.0212,-0.011,-0.00068,-0.006332
19880729,0.048193,-0.0143,0.0051,-0.0125,-0.0021,0.0227,-0.004097,0.015636
19880831,-0.005747,0.00232,0.0059,-0.0331,0.0004,0.0203,0.000365,0.014214
19880930,0.109827,0.081549,0.0062,0.033,-0.0125,-0.0068,0.014981,-0.019466
19881031,-0.015625,0.009692,0.0061,0.0115,-0.029,0.0171,0.003858,0.001797
19881130,-0.005291,-0.023289,0.0057,-0.0229,-0.0174,0.0124,0.004806,-0.013249
19881230,0,0.023495,0.0063,0.0149,0.0195,-0.0156,0.006938,-0.025523
19890131,0.047872,0.026422,0.0055,0.061,-0.0214,0.0051,-0.014967,0.006673
19890228,-0.040609,-0.01325,0.0061,-0.0225,0.0276,0.0088,-0.005518,0.009896
19890331,0.047619,0.040425,0.0067,0.0157,0.0073,0.0047,-0.006685,0.020246
19890428,0.267677,0.084745,0.0067,0.0433,-0.0058,-0.0146,0.017103,0.006421
19890531,0.023904,0.024198,0.0079,0.0335,-0.0004,-0.0083,0.007589,-0.004487
19890630,0.023346,0.069164,0.0071,-0.0135,-0.0102,0.0219,-0.009946,0.019753
19890731,0.140684,0.124252,0.007,0.072,-0.0402,-0.0283,0.015958,0.010208
19890831,0.063333,-0.002099,0.0074,0.0144,0.005,0.0072,-0.002779,0.006537
19890929,0.081505,0.026246,0.0065,-0.0076,0.0028,-0.0134,0.002694,0.002305
19891031,-0.013333,0.022853,0.0068,-0.0367,-0.033,-0.0103,0.032399,0.006066
19891130,-0.030552,0.007013,0.0069,0.0103,-0.0124,-0.0112,0.001538,0.012119
19891229,0.051515,0.011451,0.0061,0.0116,-0.0241,0.0028,0.013292,-0.008878
19900131,-0.140634,-0.083025,0.0057,-0.0785,-0.0129,0.0087,0.003458,-0.000646
19900228,-0.030852,0.005122,0.0057,0.0111,0.0103,0.0061,-0.006174,-0.013466
19900330,-0.069204,0.024934,0.0064,0.0183,0.0152,-0.029,0.017435,-0.00191
19900430,-0.003717,0.024525,0.0069,-0.0336,-0.005,-0.0255,0.026075,-0.023644
19900531,0.067164,0.094214,0.0068,0.0842,-0.0257,-0.0374,0.002063,-0.020453
19900629,0.006993,0.027136,0.0063,-0.0109,0.0143,-0.0194,0.016584,0.010392
19900731,-0.027778,-0.05329,0.0068,-0.019,-0.0321,-0.0002,0.019482,0.005869
19900831,-0.085714,-0.086323,0.0066,-0.1015,-0.0358,0.0159,0.010116,-0.016475
19900928,-0.082031,-0.045995,0.006,-0.0612,-0.0367,0.0073,0.037497,0.002542
19901031,0.012766,-0.028659,0.0068,-0.0192,-0.0552,0.0025,0.045106,-0.039361
19901130,0.066387,0.093739,0.0057,0.0635,0.0033,-0.0316,-0.004961,-0.049098
19901231,0.052009,0.043814,0.006,0.0246,0.0081,-0.0156,0.02774,-0.015466
19910131,0.108614,0.035791,0.0052,0.0469,0.038,-0.0185,-0.00299,-0.068202
19910228,0.091216,0.06455,0.0048,0.0719,0.0394,-0.0053,-0.014545,0.00675
19910328,-0.006192,0.023036,0.0044,0.0265,0.039,-0.0124,-0.005468,0.007012
19910430,0.012461,0.018202,0.0053,-0.0028,0.0051,0.0141,-0.000514,0.048121
19910531,0.076923,0.02607,0.0047,0.0365,-0.0034,-0.0057,-0.002568,0.013697
19910628,-0.04,-0.052715,0.0042,-0.0494,0.0006,0.0122,0.024499,0.025
19910731,0.014881,0.076251,0.0049,0.0424,-0.0093,-0.0126,-0.00383,0.000458
19910830,0.029326,0.048651,0.0046,0.0232,0.016,-0.0079,-0.002007,0.012728
19910930,0.011396,-0.017878,0.0046,-0.0159,0.0163,-0.01,-0.011639,0.029126
19911031,-0.034366,-0.006123,0.0042,0.0129,0.009,-0.0044,-0.011737,0.023103
19911129,-0.025671,0.001595,0.0039,-0.0419,-0.0048,-0.0193,0.034843,0.027223
19911231,0.083832,0.143228,0.0038,0.1084,-0.0223,-0.0404,0.017078,-0.035053
19920131,-0.022099,-0.023878,0.0034,-0.0059,0.0845,0.0453,-0.04529,0.049438
19920228,-0.014124,0.044497,0.0028,0.0109,0.0089,0.0637,-0.008897,0.037267
19920331,0.025788,0.000829,0.0034,-0.0266,-0.0104,0.0365,0.015206,0.023598
19920430,0.019553,0.014996,0.0032,0.0107,-0.0611,0.043,0.009768,0.00089
19920529,-0.00274,0.036263,0.0028,0.003,0.004,0.0127,0.000881,0.010956
19920630,0.013736,0.00203,0.0032,-0.0234,-0.0309,0.0341,0.013379,0.017871
19920731,0.03252,0.000295,0.0031,0.0377,-0.0044,-0.0053,0.011538,0.011916
19920831,-0.041995,0.041025,0.0026,-0.0238,-0.0011,-0.0104,0.034773,0.014083
19920930,0.030137,-0.023121,0.0026,0.0119,0.0056,-0.0021,0.006471,0.016863
19921030,0.007979,0.021767,0.0023,0.0102,0.0205,-0.021,0.016636,-0.002502
19921130,0.131926,0.012588,0.0023,0.0413,0.037,-0.0148,-0.012801,-0.003152
19921231,0.095571,0.046833,0.0028,0.0153,0.0164,0.0252,-0.011615,0.030016
19930129,0.029787,0.015671,0.0023,0.0093,0.0203,0.0587,-0.037321,0.081985
19930226,0.030992,0.012041,0.0022,0.0012,-0.0343,0.0642,-0.015975,0.064332
19930331,0.022044,0.014393,0.0025,0.023,0.0023,0.0122,-0.012288,0.045071
19930430,-0.007843,-0.060533,0.0024,-0.0305,-0.007,0.0261,-0.022121,0.05222
19930528,0.185771,0.01632,0.0022,0.0289,0.0196,-0.0341,-0.011857,0.014079
19930630,0.026667,0.028987,0.0025,0.0031,-0.003,0.0261,-0.0197,0.040139
19930730,0.038961,-0.002087,0.0024,-0.0034,0.0093,0.0324,-0.015786,0.03812
19930831,0.095312,0.034871,0.0025,0.0371,0.0032,-0.0045,-0.002369,0.017998
19930930,-0.048502,0.017051,0.0026,-0.0012,0.0311,-0.0045,-0.000567,0.028308
19931029,0.034483,0.024143,0.0022,0.0141,0.0145,-0.0154,-0.008696,0.034355
19931130,0,-0.011337,0.0025,-0.0189,-0.0143,-0.0027,0.016762,-0.027027
19931231,-0.053623,0.018177,0.0023,0.0165,0.0122,0.0057,0.002716,0.010304
19940131,-0.007657,0.002342,0.0025,0.0287,0.0014,0.0209,-0.025029,0.033306
19940228,-0.046296,0.003147,0.0021,-0.0255,0.0273,-0.0144,0.025564,-0.010789
19940331,0.030744,-0.008898,0.0027,-0.0478,-0.0098,0.0131,0.016721,-0.005522
19940429,0.010989,0.032,0.0027,0.0068,-0.0093,0.0168,0.009638,-0.015955
19940531,0,-0.007651,0.0031,0.0058,-0.0202,0.002,0.00312,0.011723
19940630,0,-0.019002,0.0031,-0.0303,-0.0047,0.0168,0.015448,0.014681
19940729,0.217391,0.054563,0.0028,0.0282,-0.0172,0.006,-0.006875,-0.005628
19940831,-0.02551,0.032314,0.0037,0.0401,0.0133,-0.0283,0.014089,-0.021861
19940930,-0.007853,-0.000344,0.0037,-0.0231,0.0282,-0.0191,0.011429,0.039095
19941031,0.068602,0.02975,0.0038,0.0134,-0.0236,-0.0175,0.02828,-0.016658
19941130,0.01358,-0.001306,0.0037,-0.0404,0.0027,-0.0095,0.0259,-0.035259
19941230,-0.00609,0.010867,0.0044,0.0086,0.0003,0.0053,0.00864,-0.029655
19950131,0.205882,0.010729,0.0042,0.018,-0.0265,0.0082,0.006989,0.009314
19950228,-0.094512,0.045835,0.004,0.0363,-0.0069,0.0105,-0.00155,0.014507
19950331,0.016835,0.015251,0.0046,0.0219,-0.007,-0.0107,0.009534,0.014332
19950428,-0.046358,0.014122,0.0044,0.0211,-0.0063,0.0225,0.00062,0.022395
19950531,0.050926,0.070085,0.0054,0.029,-0.022,0.0169,-0.000498,0.013439
19950630,0.03304,0.043005,0.0047,0.0272,0.0293,-0.0227,-0.008816,0.01999
19950731,0.055437,0.022059,0.0045,0.0372,0.0209,-0.0169,-0.008269,0.018049
19950831,0.030303,0.01981,0.0047,0.0055,0.016,0.0271,-0.017458,0.043514
19950929,0.152941,0.059928,0.0043,0.0335,-0.0211,-0.0077,0.020712,0.038946
19951031,0.003401,0.037312,0.0047,-0.0152,-0.0374,-0.0075,0.048709,0.002498
19951130,0.061017,0.04326,0.0042,0.0396,-0.0116,0.0094,-0.0058,-0.009689
19951229,0.025559,-0.002127,0.0049,0.0103,0.0057,0.0085,-0.010857,0.027849
19960131,-0.006231,0.022591,0.0043,0.0226,-0.0261,0.0032,-0.014049,0.050822
19960229,0.112853,0.037969,0.0039,0.0133,0.0187,-0.0143,0.008609,0.012224
19960329,-0.046479,0.00737,0.0039,0.0073,0.013,0.0099,-0.006507,0.040373
19960430,-0.01034,-0.010542,0.0046,0.0206,0.0491,-0.039,0.003203,0.006757
19960531,-0.088536,0.098702,0.0042,0.0236,0.0303,-0.0121,0.003996,0.044576
19960628,0.006634,0.041606,0.004,-0.0114,-0.0358,0.0155,0.025582,0.044365
19960731,0.006348,-0.022854,0.0045,-0.0597,-0.0383,0.0445,0.023521,-0.001981
19960830,0.012966,0.055028,0.0041,0.0277,0.023,-0.0046,-0.004685,0.0076
19960930,0.027201,0.041631,0.0044,0.0501,-0.0088,-0.0315,0.017234,0.017126
19961031,0.007749,0.004451,0.0042,0.0086,-0.0444,0.0512,0.012099,0.03303
19961129,0.024661,0.020868,0.0041,0.0625,-0.0389,0.0116,0.019463,0.007701
19961231,0.026873,0.020782,0.0046,-0.017,0.032,0.009,0.002515,0.024726
19970131,0.020848,0.089945,0.0045,0.0498,-0.0184,-0.0164,0.006047,0.045404
19970228,0.020267,0.026685,0.0039,-0.0049,-0.029,0.0519,0.008893,0.060887
19970331,0.019697,-0.074109,0.0043,-0.0502,-0.0038,0.0381,0.007419,0.031012
19970430,0.049736,0.11325,0.0043,0.0404,-0.0566,-0.0007,0.038088,-0.015411
19970530,0.131698,0.070498,0.0049,0.0674,0.0489,-0.0387,-0.004046,-0.012627
19970630,0.097577,0.027465,0.0037,0.041,0.0132,0.0123,0.006982,0.055819
19970731,1.40E-05,0.016373,0.0043,0.0733,-0.028,0.0084,0.002654,0.007633
19970829,-0.120735,-0.149522,0.0041,-0.0415,0.0731,0.0138,-0.01196,0.023151
19970930,0.079391,0.073282,0.0044,0.0535,0.0261,0.0002,-0.020248,0.080654
19971031,-0.024355,-0.035508,0.0042,-0.038,-0.0068,0.0196,0.007641,0.044768
19971128,0.036332,0.082376,0.0039,0.0298,-0.0494,0.0078,0.033269,0.014388
19971231,0.015594,0.054689,0.0048,0.0132,-0.0235,0.0346,-0.000295,0.059313
19980130,0.093368,-0.021822,0.0043,0.0015,-0.0115,-0.0145,0.015676,-0.006576
19980227,0.109338,0.078377,0.0039,0.0704,0,-0.0013,0.00021,-0.001076
19980331,0.204379,0.110482,0.0039,0.0476,-0.0094,0.0106,-0.010122,0.040252
19980430,0.020875,-0.018541,0.0043,0.0073,0.0021,0.0074,-0.000777,0.030624
19980529,0.03035,0.022834,0.004,-0.0307,-0.0375,0.0416,0.012407,0.016763
19980630,0.107751,0.063772,0.0041,0.0318,-0.0316,-0.0232,0.012121,-0.012033
19980731,-0.10468,-0.057827,0.004,-0.0246,-0.0512,-0.0097,0.02154,-0.002304
19980831,-0.137227,-0.211435,0.0043,-0.1608,-0.053,0.034,0.071901,-0.008449
19980930,-0.014534,-0.067908,0.0046,0.0615,-0.0012,-0.0331,-0.004049,-0.035887
19981030,0.082008,0.159364,0.0032,0.0713,-0.0332,-0.022,0.008745,-0.085588
19981130,0.052492,0.050517,0.0031,0.061,0.0107,-0.0314,-0.001136,-0.036101
19981231,0.03153,-0.0053,0.0038,0.0616,-0.0033,-0.0446,0.004451,-0.027613
19990129,-0.072122,0.02014,0.0035,0.035,0.0039,-0.0403,-0.033757,-0.037157
19990226,0.094479,-0.012844,0.0035,-0.0408,-0.0568,0.014,-0.003392,0.008962
19990331,0.003411,0.010627,0.0043,0.0345,-0.0394,-0.0264,-0.024917,-0.072577
19990430,0.067805,0.053281,0.0037,0.0433,0.0399,0.0251,-0.046149,-0.004371
19990528,-0.058036,-0.021126,0.0034,-0.0246,0.0342,0.024,0.018375,0.035769
19990630,-0.041994,-0.069056,0.004,0.0477,0.0305,-0.0359,0.008891,-0.01427
19990730,-0.019825,0.002091,0.0038,-0.0347,0.0267,-0.0077,0.020725,0.000942
19990831,-0.053733,0.008646,0.0039,-0.0138,-0.0128,-0.0131,0.023488,-0.026572
19990930,-0.135626,-0.140868,0.0039,-0.0281,0.0333,-0.0339,0.008357,-0.044442
19991029,0.157612,0.155805,0.0039,0.0613,-0.0695,-0.0288,0.002974,-0.030874
19991130,-0.103787,0.072702,0.0036,0.0337,0.0738,-0.065,-0.017499,-0.120433
19991231,-0.020694,-0.030512,0.0044,0.0772,0.0715,-0.0867,-0.033716,-0.115639
20000131,-0.088861,-0.022897,0.0041,-0.0474,0.0495,-0.0031,-0.039858,0.027445
20000229,-0.13887,-0.1415,0.0043,0.0245,0.2171,-0.0994,-0.103158,-0.087151
20000331,0.295838,0.053379,0.0047,0.052,-0.1688,0.0737,0.064415,0.025675
20000428,0.038538,-0.009754,0.0046,-0.064,-0.0775,0.086,0.078049,0.045901
20000531,-0.012254,0.063426,0.005,-0.0442,-0.0511,0.0256,0.044202,0.042948
20000630,-0.080182,0.008632,0.004,0.0464,0.1386,-0.0986,-0.051295,-0.096978
20000731,0.025649,0.041576,0.0048,-0.0251,-0.0279,0.0814,0.03724,0.039898
20000831,0.047308,-0.015666,0.005,0.0703,-0.0113,-0.0068,-0.031989,-0.063068
