"ts_code","trade_date","close","turnover_rate","turnover_rate_f","volume_ratio","pe","pe_ttm","pb","ps","ps_ttm","dv_ratio","dv_ttm","total_share","float_share","free_share","total_mv","circ_mv"
"600550.SH","20260309","19","9.4856","21.2553","0.91","363.2459","221.6483","44.6925","7.3812","5.7645","","","184152.848","184152.848","82182.1427","3498904.112","3498904.112"
"300270.SZ","20260309","11.08","3.6656","5.0442","0.97","","","5.9525","18.3822","23.121","","","30280.6028","26093.0248","18961.781","335509.079","289110.7148"
"000798.SZ","20260309","11.11","7.2655","15.3113","0.61","","","9.9254","0.824","0.8739","","","36585.8712","36583.6212","17359.6166","406469.029","406444.0315"
"301282.SZ","20260309","30.71","5.1846","8.4508","0.86","57.8806","54.7936","2.7481","2.9","2.4456","0.8052","0.8052","15113.9968","11758.2156","7213.6856","464150.8417","361094.8011"
"603712.SH","20260309","19.31","1.6361","3.1652","0.71","","","3.5715","6.9214","8.5836","","","77200","77200","39906.17","1490732","1490732"
"688079.SH","20260309","13.42","4.003","8.9896","1.14","","","4.1628","11.371","8.3095","","","41138.1979","40421.6059","17999.3918","552074.6158","542457.9512"
"601686.SH","20260309","6.15","0.5937","1.1708","0.71","21.299","10.9553","1.4171","0.165","0.1715","4.6217","7.0423","147110.9747","147110.9747","74596.8147","904732.4944","904732.4944"
"000333.SZ","20260309","75.41","0.3787","0.5542","1.04","14.8771","12.8198","2.6334","1.4081","1.2706","5.3205","5.3205","760273.9639","685150.924","468233.0527","57332259.6177","51667231.1788"
"605228.SH","20260309","12.88","1.8135","5.2431","1.02","","95.3445","2.8512","4.4442","3.5804","0.1853","0.1853","47915.5319","47713.5319","16502.8062","617152.0509","614550.2909"
"300511.SZ","20260309","7.37","5.2373","5.3721","0.97","","","3.1353","2.1841","2.5581","","","64084.7016","56005.4017","54600.3066","472304.2508","412759.8105"
"301148.SZ","20260309","53.93","3.2647","5.0986","1","125.1494","110.2208","3.5418","11.3031","11.9371","0.7193","0.7193","11649.708","5887.308","3769.688","628268.7524","317502.5204"
"000610.SZ","20260309","9.37","2.4226","3.3055","0.6","","","14.189","3.8105","4.2118","","","23674.7901","23550.4294","17260.2149","221832.7832","220667.5235"
"300497.SZ","20260309","15.7","4.0941","4.4434","1.28","","","3.936","7.1799","8.7154","","","53864.8934","44084.2687","40618.751","845678.8264","692123.0186"
"002570.SZ","20260309","5.86","5.3437","6.0918","0.74","61.4857","46.0472","3.6794","2.282","2.3275","","","108004.3333","107999.5333","94736.5862","632905.3931","632877.2651"
"600793.SH","20260309","19.5","1.6455","3.5801","0.74","","211.5202","14.4955","1.5417","1.1969","","","17690.4002","17690.4002","8131.0982","344962.8039","344962.8039"
"920580.BJ","20260309","15.6","4.3106","6.4899","1.49","141.184","75.8124","3.9255","11.6544","9.6213","0.4487","0.4487","8600","5043.5536","3349.9189","134160","78679.4362"
